#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),Genre
2360,Heroes Rise: The Hero Project,17/06/14,$6.99,51% (82%),"22,609 ±4,884",06:10 (04:27),Choice of Games,Choice of Games,RPG
502,Ares Omega,11/03/16,$0.99,N/A (N/A/49%),"22,333 ±4,854",05:03 (05:23),Selenion Games,Selenion Games,RPG
1281,MyDream,"Feb 20, 2015",Free,29% (71%),"22,333 ±4,854",00:26 (00:11),"MyDream Interactive, Inc","MyDream Interactive, Inc",RPG
1323,Dungeonmans,"Dec 9, 2014",$14.99,74% (90%),"22,333 ±4,854",16:56 (09:13),Adventurepro Games LLC,Adventurepro Games LLC,RPG
1957,Legend of Miro,"Aug 22, 2016",$9.99,N/A (N/A),"22,333 ±4,854",02:15 (02:16),"VisualPath, IndieVision Studio",VisualPath,RPG
777,Berserk: The Cataclysm,"Sep 22, 2016",Free,N/A (N/A),"22,057 ±4,824",02:57 (00:08),,IDC/Games,RPG
997,Rogue's Tale,28/03/14,$4.99,26% (69%),"22,057 ±4,824",03:33 (01:24),Epixx.org,Epixx.org,RPG
1381,Kokurase - Episode 1,10/11/16,Free,N/A (N/A),"22,057 ±4,824",00:39 (00:50),"galanti, Den-fami Nico Game Magazine",Degica,RPG
1487,DRAGON QUEST HEROES II,"Apr 25, 2017",$59.99,28% (70%),"22,057 ±4,824",16:21 (08:41),"Square Enix, KOEI TECMO GAMES CO., LTD.",Square Enix,RPG
2342,24 Hours 'til Rescue,"Feb 19, 2016",$3.99,N/A (N/A),"22,057 ±4,824",00:04 (00:02),"J. Fletcher, Michael Flynn","BrainCraft Gaming, FlynnFour Games",RPG
992,Deathstate: Abyssal Edition,"Oct 19, 2015",$9.99,51% (82%),"21,782 ±4,794",13:18 (05:00),Bread Machine Games,Black Shell Media,RPG
1341,KeeperRL,31/03/15,$14.99,64% (87%),"21,782 ±4,794",09:58 (06:05),Michal Brzozowski,Michal Brzozowski,RPG
716,Pharaonic,"Apr 28, 2016",$8.99,46% (80%),"21,506 ±4,763",02:18 (02:12),Milkstone Studios,Milkstone Studios,RPG
808,Zombie Party,10/06/16,$9.99,48% (81%),"21,506 ±4,763",04:47 (03:14),Peach Pie Productions,"Peach Pie Productions, Black Shell Media",RPG
1528,Luna: Shattered Hearts: Episode 1,24/11/14,$2.99,N/A (N/A),"21,506 ±4,763",02:53 (03:16),Daniel Gill,Gillis LLC,RPG
1879,Paranormal Activity: The Lost Soul,"Aug 15, 2017",$39.99,44% (79%),"21,506 ±4,763",03:50 (02:11),VRWERX,VRWERX,RPG
2815,Wanderlust Adventures,"Aug 10, 2015",$9.99,14% (58%),"21,506 ±4,763",06:31 (04:27),Yeti Trunk,Chucklefish,RPG
318,Corpse Party,"Apr 25, 2016",$14.99,85% (93%/71%),"21,230 ±4,733",13:15 (04:37),GrisGris,"XSEED Games, Marvelous USA, Inc.",RPG
444,Loki,05/11/07,$9.99,13% (56%/61%),"21,230 ±4,733",11:58 (02:57),Cyanide Studios,Focus Home Interactive,RPG
494,Worlds of Magic,19/03/15,$24.99,5% (41%/52%),"21,230 ±4,733",36:02 (03:59),Wastelands Interactive,Wastelands Interactive,RPG
749,Clans,13/03/14,$2.99,17% (61%),"21,230 ±4,733",00:46 (00:29),Computerhouse,Strategy First,RPG
2007,Wild Terra Online,"Dec 16, 2016",$14.99,18% (62%),"21,230 ±4,733",51:05 (04:26),Juvty Worlds Ltd.,Juvty Worlds Ltd.,RPG
373,Eschalon: Book III,"Feb 14, 2014",$9.99,N/A (N/A/67%),"20,955 ±4,702",09:04 (02:24),Basilisk Games,Basilisk Games,RPG
386,FIVE: Guardians of David,24/11/15,$9.99,23% (66%/66%),"20,955 ±4,702",06:55 (06:50),Kingdom Games,Kingdom Games,RPG
512,Majestic Nights,"Oct 30, 2014",$4.99,N/A (N/A/32%),"20,955 ±4,702",02:04 (01:45),Epiphany Games,Epiphany Games,RPG
1087,Dragon Fin Soup,03/11/15,$19.99,17% (61%),"20,955 ±4,702",03:14 (00:56),"Grimm Bros, LLC","Grimm Bros, LLC",RPG
1802,RETNE,"Aug 2, 2017",Free,N/A (N/A),"20,955 ±4,702",00:05 (00:05),"VRNI Ltd, Kainos","VRNI Ltd, Kainos",RPG
2121,Precursors,"Feb 3, 2017",$14.99,N/A (N/A),"20,955 ±4,702",01:37 (03:27),Deep Shadows,GFI,RPG
2693,Devils & Demons,"Oct 6, 2015",$9.99,N/A (N/A),"20,955 ±4,702",02:22 (00:35),HandyGames,Headup Games,RPG
2874,Mothlight,"Aug 25, 2017",Free,92% (95%),"20,955 ±4,702",02:07 (01:35),Samu,Samu,RPG
73,DarkMaus,26/01/16,$9.99,56% (84%/83%),"20,679 ±4,671",03:43 (02:24),Daniel Wright,Daniel Wright,RPG
699,Dungeon Rats,04/11/16,$8.99,44% (79%),"20,679 ±4,671",08:44 (03:02),Iron Tower Studio,Iron Tower Studio,RPG
732,Superdimension Neptune VS Sega Hard Girls | VS | VS SEGA,12/06/17,$29.99,89% (94%),"20,679 ±4,671",13:29 (09:36),"IDEA FACTORY, COMPILE HEART, FELISTELLA",Idea Factory International,RPG
848,Crystal Story II,"Feb 6, 2015",$2.99,81% (92%),"20,679 ±4,671",09:36 (03:44),Emmanuel Salva Cruz,Emmanuel Salva Cruz,RPG
914,Wayward,"Apr 22, 2016",$7.99,53% (83%),"20,679 ±4,671",10:30 (02:35),Unlok,Unlok,RPG
2238,Anima Gate of Memories,02/06/16,$19.99,31% (72%),"20,679 ±4,671",04:44 (01:07),Anima Project,Badland Games,RPG
2492,Celestian Tales: Old North,"Aug 10, 2015",$12.99,23% (66%),"20,679 ±4,671",04:43 (03:52),Ekuator Games,Digital Tribe,RPG
2717,Celestial Command,20/11/14,$10.99,44% (79%),"20,679 ±4,671",05:21 (01:34),"Romenics, Artaani, Riya",Romenics,RPG
1278,Moonstone Tavern - A Fantasy Tavern Sim!,"May 13, 2016",$7.99,2% (31%),"20,403 ±4,640",03:16 (03:20),"Michael Flynn, Elizabeth Flynn",FlynnFour Games,RPG
1798,Three Days,"May 19, 2017",$4.99,N/A (N/A),"20,403 ±4,640",02:56 (03:16),"Lewis Bergin, GorePixelGames",Lewis Bergin,RPG
890,Deadnaut,"Dec 8, 2014",$9.99,31% (72%),"20,127 ±4,608",03:18 (03:00),Screwfly Studios,Screwfly Studios,RPG
1322,Bret Airborne,29/01/15,$4.99,N/A (N/A),"20,127 ±4,608",01:56 (01:35),Machine 22,Machine 22,RPG
1378,Chosen 2,10/03/17,$0.49,13% (56%),"20,127 ±4,608",02:17 (02:41),Little Big Lee,Red Dahlia,RPG
1632,Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,26/01/16,$6.99,N/A (N/A),"20,127 ±4,608",02:12 (01:30),Michael Flynn,FlynnFour Games,RPG
1664,Age of Heroes: Conquest,"Apr 17, 2017",Free,N/A (N/A),"20,127 ±4,608",35:03 (00:25),5th Planet Games,5th Planet Games,RPG
2407,Super Chibi Knight,24/06/15,$4.99,61% (86%),"20,127 ±4,608",05:33 (03:31),PestoForce,"Armor Games Studios, PestoForce",RPG
2771,Into the Void,"Dec 4, 2015",$4.99,N/A (N/A),"20,127 ±4,608",04:10 (05:07),Mozg Labs,Mozg Labs,RPG
2845,Sky Break,"Oct 21, 2016",$9.99,24% (67%),"20,127 ±4,608",04:08 (02:13),Farsky Interactive,Farsky Interactive,RPG
345,Diaries of a Spaceport Janitor,"Sep 16, 2016",$9.99,44% (79%/69%),"19,852 ±4,577",03:02 (01:57),Sundae Month,tinyBuild,RPG
352,.hack//G.U. Last Recode,03/11/17,$49.99,81% (92%/69%),"19,852 ±4,577",26:01 (20:44),CyberConnect2,BANDAI NAMCO Entertainment,RPG
492,RAID: World War II,"Sep 26, 2017",$39.99,15% (59%/53%),"19,852 ±4,577",13:52 (09:46),Lion game Lion,Starbreeze Publishing AB,RPG
920,8-Bit Adventures: The Forgotten Journey Remastered Edition,"May 22, 2015",$9.99,N/A (N/A),"19,852 ±4,577",05:30 (06:12),Critical Games,Critical Games,RPG
1609,Dragon Blood,31/01/17,Free,6% (44%),"19,852 ±4,577",48:25 (00:33),TeamTop Games,101XP,RPG
1699,Fallen: A2P Protocol,"Aug 14, 2015",$9.99,3% (34%),"19,852 ±4,577",04:22 (01:55),Red Katana,Red Katana,RPG
2716,Dysan the Shapeshifter,06/06/14,$1.99,N/A (N/A),"19,852 ±4,577",02:14 (01:30),Wild Games Studio,Wild Games Studio,RPG
2960,Dungeon Lords Steam Edition,"Dec 21, 2015",$14.99,33% (73%),"19,852 ±4,577",20:18 (03:20),Heuristic Park,THQ Nordic,RPG
466,Kyn,28/07/15,$19.99,14% (58%/58%),"19,576 ±4,545",03:48 (01:11),Tangrin Entertainment,Versus Evil,RPG
471,Goliath,"May 12, 2016",$11.99,18% (62%/57%),"19,576 ±4,545",05:55 (03:11),Whalebox Studio,Octopus Tree,RPG
501,Krai Mira: Extended Cut,11/07/16,$7.99,13% (56%/50%),"19,576 ±4,545",04:00 (03:35),TallTech studio,,RPG
877,Hunt For Gods,15/11/17,Free,29% (71%),"19,576 ±4,545",01:19 (00:11),StarworkGC,StarworkGC,RPG
1025,Angels of Death,"Dec 19, 2016",$9.99,85% (93%),"19,576 ±4,545",05:52 (05:11),"Den-fami Nico Game Magazine, Makoto Sanada",AGM PLAYISM,RPG
1175,Call of Cthulhu: The Wasted Land,06/03/14,N/A,21% (64%),"19,576 ±4,545",03:15 (01:28),Red Wasp Design Ltd,Red Wasp Design Ltd,RPG
1454,Winged Sakura: Mindy's Arc,07/11/14,$3.74,58% (85%),"19,576 ±4,545",06:06 (02:02),WINGED SAKURA GAMES,WINGED SAKURA GAMES,RPG
2264,Little Big Adventure 2,"Oct 20, 2015",$3.99,99% (98%),"19,576 ±4,545",03:48 (02:03),DotEmu,DotEmu,RPG
578,(Chinese PaladinSword and Fairy 4),"Sep 4, 2017",$5.99,48% (81%),"19,300 ±4,513",17:40 (08:01),"Softstar Technology (Shanghai) Co., Ltd.","Beijing New Era Network Technology Co., Ltd.",RPG
1114,Death Skid Marks,20/11/14,$9.99,81% (92%),"19,300 ±4,513",10:30 (05:58),Studio Whisky Tango Inc.,Studio Whisky Tango Inc.,RPG
1362,Millennium 5 - The Battle of the Millennium,07/11/14,$9.99,N/A (N/A),"19,300 ±4,513",03:30 (02:44),Aldorlea Games,Aldorlea Games,RPG
1451,The Hive,"Aug 25, 2016",$19.99,25% (68%),"19,300 ±4,513",03:13 (02:50),Skydome Entertainment,Skydome Entertainment,RPG
1647,BorderZone,"Apr 23, 2014",$2.99,N/A (N/A),"19,300 ±4,513",04:00 (04:18),"Saturn-plus, Orion",1C Company,RPG
2902,WORLD OF FINAL FANTASY,21/11/17,$39.99,56% (84%),"19,300 ±4,513",17:12 (12:23),Square Enix,Square Enix,RPG
1016,Braveland Wizard,"Dec 4, 2014",$6.99,29% (71%),"19,025 ±4,480",07:10 (04:32),Tortuga Team,Tortuga Team,RPG
1521,RED,14/01/17,Free,92% (95%),"19,025 ±4,480",00:29 (00:24),"storyk21674, STILILA, 貓蛋",Ｌｅｍｏｎ　Ｂａｌｍ,RPG
1534,Will Fight for Food: Super Actual Sellout: Game of the Hour,"Apr 22, 2015",$5.99,N/A (N/A),"19,025 ±4,480",03:01 (03:23),Pyrodactyl,Pyrodactyl,RPG
1575,Azulgar Star Commanders,"Aug 31, 2017",$14.99,N/A (N/A),"19,025 ±4,480",00:11 (00:19),Lusorion Creatives,Lusorion Creatives,RPG
2254,BloodLust Shadowhunter,"Sep 21, 2015",$12.99,44% (79%),"19,025 ±4,480",06:08 (03:07),WRF Studios,WRF Studios,RPG
600,Millennium 3 - Cry Wolf,"Aug 29, 2014",$5.99,N/A (N/A),"18,749 ±4,448",04:20 (03:14),Aldorlea Games,Aldorlea Games,RPG
858,The Life Of Greather,"Aug 25, 2016",$1.99,N/A (N/A),"18,749 ±4,448",03:58 (04:22),GreatherGames,GreatherGames,RPG
1053,Cladun X2 / X2,"Aug 14, 2012",$9.99,46% (80%),"18,749 ±4,448",04:02 (01:53),System Prisma,"NIS America, Inc.",RPG
1090,Heroes of Steel RPG,"Apr 23, 2014",$9.99,42% (78%),"18,749 ±4,448",25:52 (02:45),Trese Brothers,Trese Brothers,RPG
1221,Forsaken Isle,"Feb 6, 2015",$7.99,29% (71%),"18,749 ±4,448",04:28 (02:22),Smoodlez,Smoodlez,RPG
2227,The Sun Will Rise,"Oct 3, 2016",Free,9% (51%),"18,749 ±4,448",01:08 (00:57),The Sun Will Rise Team,The Sun Will Rise Team,RPG
2343,Ostrich Island,08/01/15,$4.99,53% (83%),"18,749 ±4,448",02:00 (01:40),MeDungeon Ltd.,MeDungeon Ltd.,RPG
896,I Am The Hero,16/01/17,$9.99,58% (85%),"18,473 ±4,415",01:43 (01:20),Crazyant,Crazyant,RPG
1478,Sorcery! Part 3,"Apr 5, 2016",$9.99,N/A (N/A),"18,473 ±4,415",07:24 (06:50),inkle Ltd,inkle Ltd,RPG
1806,Balrum,"Feb 29, 2016",$14.99,36% (75%),"18,473 ±4,415",09:03 (04:26),Balcony Team,Balcony Team,RPG
2556,4089: Ghost Within,09/01/15,$5.99,18% (62%),"18,473 ±4,415",01:49 (01:49),Phr00t's Software,Phr00t's Software,RPG
1684,Learn Japanese To Survive! Katakana War,30/01/17,$6.99,81% (92%),"18,197 ±4,382",05:12 (02:47),Sleepy Duck,Sleepy Duck,RPG
1691,Mythos: The Beginning - Director's Cut,"Oct 27, 2014",$5.99,N/A (N/A),"18,197 ±4,382",02:20 (01:57),Dark Gaia Studios,Degica,RPG
2676,Low Magic Age,10/01/17,$5.99,89% (94%),"18,197 ±4,382",08:36 (03:11),Low Magic Studios,Low Magic Studios,RPG
2769,Man O' War: Corsair - Warhammer Naval Battles,"Apr 19, 2017",$20.09,25% (68%),"18,197 ±4,382",08:38 (04:03),Evil Twin Artworks,Evil Twin Artworks,RPG
1020,Dungeon Creepster,24/03/17,$0.49,9% (51%),"17,922 ±4,348",02:46 (02:21),Electric Root,VT Publishing,RPG
2026,Bastard Bonds,15/06/16,$15.99,70% (89%),"17,922 ±4,348",08:28 (04:36),Bigfingers,Bigfingers,RPG
2031,Vlad the Impaler,16/07/14,$0.99,28% (70%),"17,922 ±4,348",03:17 (02:29),Section Studios,Section Studios,RPG
2068,- Red Obsidian Remnant,"Sep 4, 2017",$8.99,70% (89%),"17,922 ±4,348",17:02 (09:27),Red Obsidian Studio,"Beijing New Era Network Technology Co., Ltd.",RPG
388,Dark Fear,22/06/16,$3.99,89% (94%/66%),"17,646 ±4,315",02:01 (04:43),Arif Games,Arif Games,RPG
1460,EmergeNYC,03/11/16,$34.99,36% (75%),"17,646 ±4,315",20:23 (05:38),FlipSwitch Games,FlipSwitch Games,RPG
2278,Road Dogs,"Sep 26, 2017",Free,11% (53%),"17,646 ±4,315",00:36 (00:11),Teletower Studios,Teletower Studios,RPG
2362,ACE Academy,"Aug 22, 2016",$4.99,95% (96%),"17,646 ±4,315",08:19 (07:03),PixelFade Inc,PixelFade Inc,RPG
2881,Braveland Pirate,"Sep 14, 2015",$6.99,74% (90%),"17,646 ±4,315",20:45 (08:32),Tortuga Team,Tortuga Team,RPG
367,Shiness: The Lightning Kingdom,"Apr 18, 2017",$29.99,34% (74%/68%),"17,370 ±4,281",05:21 (01:36),Enigami,Focus Home Interactive,RPG
582,UnReal World,"Feb 26, 2016",$10.99,92% (95%),"17,370 ±4,281",21:20 (04:35),"Sami Maaranen (creator), Erkka Lehmus (co-designer)",Enormous Elk,RPG
1470,Chinese PaladinSword and Fairy 5 Prequel,"Sep 29, 2017",$6.29,34% (74%),"17,370 ±4,281",14:49 (06:09),"Softstar Technology (Beijing) Co.,Ltd","Beijing New Era Network Technology Co., Ltd.",RPG
2382,Steel Rain,"Dec 3, 2015",$3.29,N/A (N/A),"17,370 ±4,281",04:48 (04:01),"PolarityFlow, Adrian Zingg",PolarityFlow,RPG
2752,Vulture for NetHack,"Feb 2, 2015",$2.99,28% (70%),"17,370 ±4,281",02:33 (00:39),DarkArts Studios,DarkArts Studios,RPG
266,Drox Operative,"Feb 18, 2014",$19.99,70% (89%/74%),"17,094 ±4,247",23:45 (07:04),Soldak Entertainment,Soldak Entertainment,RPG
333,The Swindle,28/07/15,$14.99,21% (64%/70%),"17,094 ±4,247",04:34 (00:55),Size Five Games,Size Five Games,RPG
715,Hazen: The Dark Whispers,"Apr 28, 2010",$9.99,N/A (N/A),"17,094 ±4,247",01:33 (00:38),Dagger Games,Strategy First,RPG
840,Dragon Glory,"Oct 10, 2017",Free,N/A (N/A),"17,094 ±4,247",15:11 (00:09),TeamTop Games,101XP,RPG
1333,Flamebreak,"Oct 16, 2015",$9.99,85% (93%),"17,094 ±4,247",09:04 (05:07),Nimbly Games,Nimbly Games,RPG
1479,Chicken Assassin - Master of Humiliation,27/06/16,$3.99,92% (95%),"17,094 ±4,247",05:28 (03:36),Oneshark,Akupara Games,RPG
1615,Vox,12/11/13,$9.99,1% (25%),"17,094 ±4,247",02:12 (01:49),,,RPG
2074,Science Girls,20/03/14,$4.99,33% (73%),"17,094 ±4,247",02:45 (01:11),Spiky Caterpillar,Hanako Games,RPG
2086,Melting Hearts: Our Love Will Grow 2,"Apr 29, 2016",$4.99,N/A (N/A),"17,094 ±4,247",03:30 (03:17),John Wizard,John Wizard,RPG
2682,Boundless,13/11/14,$34.99,28% (70%),"17,094 ±4,247",04:36 (01:24),Wonderstruck,Wonderstruck,RPG
198,Cosmic Star Heroine,"Apr 11, 2017",$14.99,74% (90%/77%),"16,819 ±4,212",08:29 (02:43),Zeboyd Games,Zeboyd Games,RPG
238,Ravenmark: Scourge of Estellion,"Sep 10, 2015",$14.99,N/A (N/A/75%),"16,819 ±4,212",06:36 (04:42),Witching Hour Studios,Slitherine Ltd.,RPG
1344,Weapons of Mythology - New Age -,"Dec 15, 2016",Free,4% (39%),"16,819 ±4,212",01:02 (00:18),Gamemag,IDC/Games,RPG
1410,Alphadia Genesis,12/01/15,$9.99,56% (84%),"16,819 ±4,212",05:00 (04:27),EXE-CREATE,KEMCO,RPG
1577,Dog Sled Saga,"Sep 22, 2016",$7.99,77% (91%),"16,819 ±4,212",14:05 (04:20),Trichotomy,Trichotomy,RPG
2015,Atelier Firis: The Alchemist and the Mysterious Journey /,07/03/17,$59.99,51% (82%),"16,819 ±4,212",25:57 (14:04),"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",RPG
2287,The Sacred Stone: A Story Adventure,29/01/16,$2.99,N/A (N/A),"16,819 ±4,212",04:23 (04:15),Panzer Gaming,Panzer Gaming Studios,RPG
2397,Millennium 4 - Beyond Sunset,"Sep 19, 2014",$5.99,N/A (N/A),"16,819 ±4,212",03:22 (03:10),Aldorlea Games,Aldorlea Games,RPG
2646,Desert Law,25/03/15,$2.99,N/A (N/A),"16,819 ±4,212",00:32 (00:27),Arise,1C Company,RPG
971,Karate Master 2 Knock Down Blow,20/03/15,$9.99,53% (83%),"16,543 ±4,178",06:07 (04:21),Crian Soft,Milestone S.r.l.,RPG
1033,Kings and Heroes,16/11/17,$19.99,26% (69%),"16,543 ±4,178",06:59 (02:35),Industry Games,Industry Games,RPG
1082,To Ash,29/03/16,$1.99,N/A (N/A),"16,543 ±4,178",04:05 (04:31),Kyle Ballentine,Self-Publish,RPG
1397,Mission Control: NanoMech,"Dec 17, 2014",$8.99,N/A (N/A),"16,543 ±4,178",00:31 (00:15),WisdomTools,WisdomTools,RPG
1672,Playing History: Vikings,01/07/15,$2.99,N/A (N/A),"16,543 ±4,178",00:42 (01:03),Serious Games Interactive,Serious Games Interactive,RPG
2529,Marvel: Ultimate Alliance 2,26/07/16,$39.99,11% (53%),"16,543 ±4,178",10:09 (06:10),Zoë Mode,Activision,RPG
2740,Fresh Body,15/11/16,$9.99,70% (89%),"16,543 ±4,178",05:46 (03:11),LOVIGAME,LOVIGAME,RPG
906,Skyflower,25/06/15,$2.99,N/A (N/A),"16,267 ±4,143",00:10 (00:06),The Taco Heaven,,RPG
2220,hackmud,"Sep 22, 2016",$19.99,46% (80%),"16,267 ±4,143",10:10 (04:45),Drizzly Bear,Drizzly Bear,RPG
2778,Song of the Myrne: What Lies Beneath,13/01/15,$4.99,61% (86%),"16,267 ±4,143",03:09 (02:20),Beldarak Games,Beldarak Games,RPG
419,Legend of Kay Anniversary,27/07/15,$19.99,34% (74%/64%),"15,992 ±4,108",02:35 (01:56),"Kaiko, Neon Studios",THQ Nordic,RPG
741,bit Dungeon+,22/03/16,$0.71,2% (32%),"15,992 ±4,108",81:26 (00:27),"KintoGames, Dolores Entertainment","KintoGames, Dolores Entertainment",RPG
1187,Sorcery! Part 4,"Sep 22, 2016",$9.99,N/A (N/A),"15,992 ±4,108",11:00 (07:37),inkle Ltd,inkle Ltd,RPG
1390,Ghost of a Tale,25/07/16,$19.99,92% (95%),"15,992 ±4,108",05:21 (03:10),SeithCG,SeithCG,RPG
1452,Battle Mages,"May 30, 2014",$3.99,18% (62%),"15,992 ±4,108",02:30 (02:10),Targem Games,Buka Entertainment,RPG
1565,You Doesn't Exist,"Sep 26, 2017",Free,N/A (N/A),"15,992 ±4,108",00:15 (00:04),Yo252yo,Yo252yo,RPG
1871,Valnir Rok Survival RPG,"Sep 26, 2017",$19.99,25% (68%),"15,992 ±4,108",11:47 (04:43),encurio,Reverb Triple XP,RPG
2190,Betrayal Collection,"Dec 15, 2016",$5.99,N/A (N/A),"15,992 ±4,108",07:09 (01:55),Dynamix,Activison,RPG
234,Shardlight,08/03/16,$14.99,67% (88%/75%),"15,716 ±4,072",07:07 (07:15),Wadjet Eye Games,Wadjet Eye Games,RPG
555,Chronicles of Teddy,"Apr 2, 2015",$14.99,29% (71%),"15,716 ±4,072",05:40 (02:12),Storybird,"LookAtMyGame, Plug In Digital",RPG
734,Team Four Star RPG,08/11/17,Free,N/A (N/A),"15,716 ±4,072",02:33 (00:34),Shadow Blade Productions,Shadow Blade Productions,RPG
1318,The Legend of Candlewind: Nights & Candles,"Feb 12, 2015",$9.99,N/A (N/A),"15,716 ±4,072",00:10 (00:07),Atmosphere Entertainment Studios,2tainment,RPG
1507,Fastigium,"Dec 18, 2016",Free,N/A (N/A),"15,716 ±4,072",00:23 (00:09),ifgames studio,ifgames studio,RPG
191,Echoes of Aetheria,15/01/16,$14.99,81% (92%/77%),"15,440 ±4,036",05:13 (03:07),Dancing Dragon Games,Degica,RPG
468,Zenith,"Sep 20, 2016",$14.99,38% (76%/57%),"15,440 ±4,036",04:10 (02:33),Infinigon,Badland Games,RPG
780,Smugglers 5: Invasion,"Oct 16, 2014",$9.99,N/A (N/A),"15,440 ±4,036",04:16 (02:57),Niels Bauer Games,Niels Bauer Games,RPG
2614,"I, Gladiator","Apr 7, 2015",$7.99,15% (59%),"15,440 ±4,036",05:27 (03:30),Steel Monkeys,Next Dimension Game Adventures Ltd.,RPG
2984,Starship Traveller,11/03/15,$4.99,N/A (N/A),"15,440 ±4,036",03:58 (02:58),Tin Man Games,Tin Man Games,RPG
1458,Hero Generations,"Apr 10, 2015",$5.99,8% (48%),"15,164 ±4,000",03:24 (02:15),Heart Shaped Games LLC,Heart Shaped Games LLC,RPG
1631,Crown Champion: Legends of the Arena,"Oct 21, 2016",$3.99,64% (87%),"15,164 ±4,000",05:22 (03:59),Pilgrim Adventures,GrabTheGames,RPG
1686,AoF World Online,"Feb 27, 2015",$4.99,N/A (N/A),"15,164 ±4,000",05:22 (04:52),NSE Circuit,NSE Circuit,RPG
1769,Crayon Chronicles,02/03/15,$3.99,N/A (N/A),"15,164 ±4,000",02:37 (01:32),Outer Grid Games LLC,Outer Grid Games LLC,RPG
1948,Rebirth of Island,04/11/16,$4.99,N/A (N/A),"15,164 ±4,000",03:03 (03:36),Yo_Serjio,Yo_Serjio,RPG
77,The Legend of Heroes: Trails in the Sky the 3rd,"May 3, 2017",$29.99,92% (95%/83%),"14,889 ±3,963",41:35 (46:32),Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",RPG
862,Deadly Sin,27/03/15,$4.99,N/A (N/A),"14,889 ±3,963",04:46 (06:02),Dancing Dragon Games,Degica,RPG
1125,Siralim 2,"Aug 12, 2016",$14.99,89% (94%),"14,889 ±3,963",35:55 (12:14),Thylacine Studios,Thylacine Studios LLC,RPG
1336,Dawn's Light,"Sep 1, 2016",$2.99,N/A (N/A),"14,889 ±3,963",04:18 (03:24),John Wizard,John Wizard,RPG
801,Towards The Pantheon: Escaping Eternity,"Oct 25, 2017",Free,N/A (N/A),"14,613 ±3,927",00:19 (00:23),Connor O.R.T. Linning,Connor O.R.T. Linning,RPG
1843,Return to Krondor,"Dec 15, 2016",$5.99,N/A (N/A),"14,613 ±3,927",00:19 (00:19),PyroTechnix,Activision,RPG
1954,5089: The Action RPG,"Feb 3, 2016",$7.99,61% (86%),"14,613 ±3,927",04:40 (04:15),Phr00t's Software,Phr00t's Software,RPG
1986,Heroes Rise: HeroFall,11/07/14,$3.99,85% (93%),"14,613 ±3,927",05:18 (03:52),Choice of Games,Choice of Games,RPG
2368,Imprisoned Light,"Oct 28, 2016",$1.99,29% (71%),"14,613 ±3,927",01:30 (00:33),imaginite Ltd,imaginite Ltd,RPG
2931,Moonrise,"May 27, 2015",N/A,N/A (N/A),"14,613 ±3,927",15:06 (05:35),Undead Labs,Undead Labs LLC,RPG
223,Din's Curse,"Aug 22, 2012",$9.99,61% (86%/76%),"14,337 ±3,889",13:31 (06:27),Soldak Entertainment,Soldak Entertainment,RPG
379,Megamagic: Wizards of the Neon Age,"Apr 20, 2016",$9.99,N/A (N/A/67%),"14,337 ±3,889",05:10 (05:16),BeautiFun Games,BeautiFun Games,RPG
859,Marvel: Ultimate Alliance,26/07/16,$39.99,14% (58%),"14,337 ±3,889",07:09 (02:17),Zoë Mode,Activision,RPG
972,The Divine Paradox,"Sep 26, 2016",$6.99,N/A (N/A),"14,337 ±3,889",08:27 (08:59),Cape of Games LLC,Cape of Games LLC,RPG
1263,Colonies Online,"May 1, 2014",$14.99,2% (33%),"14,337 ±3,889",06:40 (02:15),Iron Bit,Iron Bit,RPG
1473,Mad Nords: Probably an Epic Quest,"Dec 2, 2016",$5.99,N/A (N/A),"14,337 ±3,889",05:49 (05:58),Dragon's Games,Dragon's Games,RPG
1504,NeuroVoider,"Aug 31, 2016",$13.99,48% (81%),"14,337 ±3,889",07:05 (04:09),Flying Oak Games,"Playdius, Plug In Digital",RPG
2206,It Comes Around - A Kinetic Novel,"Sep 29, 2016",$2.99,N/A (N/A),"14,337 ±3,889",04:03 (03:58),Glass of Water Studios,Afterthought Studios,RPG
2312,Artifact Adventure,01/06/15,$6.99,34% (74%),"14,337 ±3,889",03:12 (02:09),bluffman,AGM PLAYISM,RPG
65,Rakuen,"May 10, 2017",$9.99,99% (98%/84%),"14,062 ±3,852",04:46 (03:37),Laura Shigihara,Laura Shigihara,RPG
322,Overfall,"May 17, 2016",$14.99,53% (83%/71%),"14,062 ±3,852",10:43 (05:08),Pera Games,Pera Games,RPG
845,The Quest for Achievements II,"Aug 25, 2017",$4.99,N/A (N/A),"14,062 ±3,852",00:10 (00:10),StarSystemStudios™,StarSystemStudios™,RPG
885,Heroes of Dark Dungeon,04/01/17,$5.99,N/A (N/A),"14,062 ±3,852",04:51 (05:20),Solomakha Taras,Solomakha Taras,RPG
1525,Criminal Girls: Invite Only / INVITATION,11/01/17,$19.99,40% (77%),"14,062 ±3,852",06:15 (05:02),"Nippon Ichi Software, Inc.","NIS America, Inc.",RPG
